id,name,description,funding_amount,isReal,image_url
1,Tutorial,Read descriptions of companies and determine if they are real or not. Press "Real" to start.","$",True,https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIzLTEwL3N0YXJ0dXBpbWFnZXNfcGhvdG9fb2ZfZG9nX2dpdmluZ19wYXdfb25fbGlnaHRfYmFja2dyb3VuZF82YWQ3ODk2Ny0xNGUzLTQyYzgtOWExNy03N2VlNzlkYzY1MGYucG5n.png
2,rabbit,Introducing the ultimate in human-machine interaction! We make portable AI sidekicks., "$60M",True,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472  
3,DreamHack,Customizes dreams and your deepest desires with AI.,"",False,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472  
4,CryptoCaf,We bring crypto to the coffee shop experience. Our coffee beans are tokenized; every sip is as secure as a crypto wallet!.,"",False,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472
5,PetTalk,Ever wonder what your pet is thinking? This revolutionary AI translator allows you to have meaningful conversations with your furry friends.,"",False,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472
6,Humane,Our AI pin wraps GPT in a cozy embrace of familiarity. For $700 it's all yours.,"241M",True,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472
7,TokenTeeth,Minting a new smile one token at a time. Invest in dental services with a cryptocurrency backed by an immutable ledger of dental records.,"",False,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472
8,WorldCoin,Embrace the future with free crypto for everyone at the cost of your eye-recognition biometrics.,"240M",True,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472
9,Sonia,Your budget-friendly AI therapist! Why spend $200 per session when you can spill your soul to a phone app for just $200 a year?,"an undisclosed amount",True,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472
10,PlantWhisperer,Your plants have feelings too! Our AI plant communicator deciphers your plants' needs and desires.","",False,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472
11,Squid Game (SQUID) Token,A crypto token inspired by the Netflix program Squid Game that promises to be used in an online play-to-earn game.,"3.3M",True,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472
12,A ToN oF coke,1000 one-kilo “cryptococaine” packages in the form of NFTs. For the first time since the War on Drugs started a ToN oF cocaine floating on the open sea can be legally owned and its ownership officially verified.,"0.001-1 ETH per NFT",True,https://media.discordapp.net/attachments/1202002337455931583/1227383378878136362/benliang_A_picture_is_worth_a_thousand_words_with_thumbs_up_and_e42d195f-9854-434c-9f37-67d41841d34c.png?ex=66321819&is=6630c699&hm=68088464fde99fc7157a2e6a0729947ff911f36cfa0542c4180c9bb1bf996666&=&format=webp&quality=lossless&width=472&height=472
